Rumah Sakit,Reviewer,Waktu,Rating,Ulasan
RS EMC Tangerang,Sweet & Sour,3 bulan lalu,1.0,"Dateng hari ini ke UGD sama sekali ga dilayani, katanya tunggu suster cek tapi uda stngah jam ga dilayangi sama sekali, di tensi2 pun engga. Padahal uda emergency ga tahan harus diperiksa uda lemes karna diare akut. Parah banget UGD nya!!!!"
RS EMC Tangerang,Bella BCN,5 bulan lalu,4.0,"Ketiga kalinya balik kesini, sekarang untuk MCU. RS ini lumayan cepet pelayanan nya & suster dokternya sangat ramah + helpful. Parkirannya gak terlalu besar tp untuk rawat inapnya banyak kamar nya. Obat yang dikasih juga sesuai dengan penyakit nya, gak overtreatment. Puas dateng kesini"
RS EMC Tangerang,Nojos,3 bulan lalu,5.0,"Ditangani di IGD oleh dr. Larasati dengan sangat baik. Cekatan, tenang dan sangat informatif terhadap saya sebagai pasien. Saya harap layanan seperti ini akan terus ada, sehingga pasien tenang karena berada ditangan yang tepat. Terimakasih bu dokter 🙏 …"
RS EMC Tangerang,Rivaldi Hermawan,3 bulan lalu,1.0,"sistemnya buruk, saya upload surat rujukan sudah 2 minggu lalu masa hari ini baru terupload. sudah komplen tapi tidak ada solusi dari pihak registrasinya …"
RS EMC Tangerang,Agnes,3 bulan lalu,1.0,"Waktu tunggunya dimana2 lama. Mulai dari registrasi lama, mau visus lama, nunggu masuk ke ruang dokternya lagi lama. Padahal kalau dilihat2 pasiennya tidak banyak. Terlalu lelah dan bosan menunggu. Tolong lebih baik lagi dalam memanage waktu"
RS EMC Tangerang,Andi_AM 80,5 bulan lalu,2.0,"Loket untuk pendaftaran/registrasi  perlu dibenahi karena pelayanannya sangat lama, beda jauh dengan proses pendaftaran di RS EMC alam sutera yang serba cepat dan tidak perlu antri lama hanya untuk registrasi pasien.."
RS EMC Tangerang,Fahna Sabilla,3 bulan lalu,5.0,"Pelayanan oke, cuman suster poliklinik ada yg judes. Toiletnya bersih banget. Bagus pokoknya."
RS EMC Tangerang,Hery bul,2 bulan lalu,1.0,"rumah sakit taek, bokap gw pasien masuk emergency, masi di persulit masuknya sama garda depan emergency dan dokternya nama dokternya dokter ricky"
RS EMC Tangerang,maryeti dewi,Diedit 5 bulan lalu,5.0,"Pengalaman saat saya datang ke bagian urologi RS EMC Tangerang dilayani dengan baik oleh Ners Ayu dan Ners Fransiska dengan ramah dan penuh perhatian, saya sangat puas seperti bintang yang saya berikan👍 …"
RS EMC Tangerang,Fauzi Suhendra,5 bulan lalu,1.0,RS EMC Payah tidak menyediakan parkir buat Kurir ada juga di dalam sama aja boong free 5 menit doank...sedangkan yg order makanan atau paket ga mau ganti biaya Parkir
RS EMC Tangerang,FEI Gaming,7 bulan lalu,5.0,"Selama putra sy dirawat di EMC krn DBD, penerimaan, serta pelayanan nya sangat baik, cekatan dan ramah, terutama saat koordinasi dgn mbak Lili marketing, dokter jaga di IGD, dokter anak, dokter jaga saat opname,rutin kontrol, sangat sigap, …"
RS EMC Tangerang,M. Arsya,5 bulan lalu,1.0,"Yang mau berobat dan yang gak mau jengkel, mohon jgn ke rs ini.. Baguan registrasi aja lu mesti nunggu 2 jam di rush hour.. Ada 5 loket registrasi yang kepake / kerja cuman 1, yang lain gk tau ngurus apa itu.. Wkwkwk"
RS EMC Tangerang,TINA Tina,5 bulan lalu,5.0,"Excellent service dari tim security secara keseluruhan, layak utk ditiru setiap lini pelayanan. Trimakasih (saya ketinggalan dokumen bahkan tidak sadsr bahwa tertinggal, kemudian dihub dari RS EMC dan diinfokan bahwa dokumennyaa ditaroh di Security basement)"
RS EMC Tangerang,Bong Ceng lin,6 bulan lalu,5.0,"Terima kasih EMC Tangerang
Khususnya tim ICU, dr. Kevin SpN dan perawat Tuberosa (khusus nya   suster Dilla, Br Deni,Suster Penty Suster Sartika) pelayannya luar Biasa,, …"
RS EMC Tangerang,Warung PB Asli,2 bulan lalu,1.0,"Kepada management RS EMC tangerang, tolong diperhatikan pasien yg ga mau pakai AC dipisahkan, virus dan bakteri bisa infeksi org yg sebelahnya, yg sebelah selalu batuk dan muntah, kamar bau dan pengab, dan suasana tdk nyaman sesama kamar. Pasien ditanyakan dulu mau kamar yg ber AC atau tidak. Terimakasih"
RS EMC Tangerang,Luzma Shafira,8 bulan lalu,2.0,"mulai dari pegawai di bagian registrasi yang harusnya disambut dengan senyum, sudah di jutekin dan judes bicaranya. pegawai lainnya jg sama, yang baik dan mau senyum cuma 1-3 orang. sisanya kompak judes & jutek, gak helpful. nanya baik2, …"
RS EMC Tangerang,Vania Hee,3 bulan lalu,5.0,"Aku pernah dirawat di emc, bagi aku semua perawat baik, pelayanan baik, dokter baik. Kalau sakit rasanya mau deh dirawat disini lagi. The best pokoknya... mau klaim asuransi di bag korespondensi dengan admin yudis jugaaa cepet bgt. Cuma butuh waktu sbentar berkas berkas uda slsai. Best of the best pokoknya 💪🙏🙏♥️♥️ …"
RS EMC Tangerang,Abun Dant,7 bulan lalu,5.0,"Dari awal masuk di sambut dengan ramah, awal yg menarik, saat bertanya di jawab dengan sopan dan semoga pelayanan dokternya pun baik"
RS EMC Tangerang,Anne Rohaida,6 bulan lalu,5.0,Thank you so much untuk dr. Efilda Spog yg sudah menangani saya sejak tahun 2021.. Terima kasih jg untuk asisten dokternya (mba siska) yg sangat helpful.. Sudah nyaman berobat di RS EMC ini.. Tingkatkan terus pelayanannya.. Terima kasih..
RS EMC Tangerang,Hank Buster,5 bulan lalu,1.0,"Maaf, terpaksa kasih rate rendah
Hari minggu malam sy bawa kerabat saya ke igd, penaganan sudah hampir sesuai prosedur, namun cara penyampaian perawat dan dokter kurang berkenan: …"
RS EMC Tangerang,Youla,6 bulan lalu,5.0,"Tempat bersih, pelayanan nya suster ramah, dan security sigap, kamar mandi juga bersih."
RS EMC Tangerang,Muhamad Sholihin,3 bulan lalu,4.0,"Saya sudah bertahun-tahun selalu ke EMC untuk berbagai jenis perawatan outpatient maupun inpatient.
Saya rasa EMC ini bagus dalam hal fasilitas dan jadwal ketersediaan dokter yang …"
RS EMC Tangerang,Anindarizka Trisnadia,2 bulan lalu,5.0,"Terima kasih kepada dr. Efilda Silfiyana, Sp.OG yang telah menangani saya sejak kontrol kehamilan hingga proses persalinan SC. Dokter sangat ramah dan sabar. Alhamdulillah proses persalinan di sini  berjalan lancar. Terima kasih juga kepada asisten dr. Efilda (suster Siska ) yang telah banyak membantu."
RS EMC Tangerang,Yudi Hermawan,5 bulan lalu,1.0,Dengan berat hati saya memberikan rating terendah atas pengalaman membawa mertua saya ke RS EMC Cipondoh. …
RS EMC Tangerang,Otih Latifah,7 bulan lalu,5.0,"Terima Kasih untuk segenap Dr dan perawat yang
Telah membantu Ibu saya dari saat masuk RS sampai akhirnya meninggal dunia. Terutama untuk Dr Arief Rahman dan Tim Perawat di Ruang HCU dan Stellata. 💜💜💜💜💜💜💜 …"
RS EMC Tangerang,Niky Purbawisesa,setahun lalu,5.0,"RS EMC Tangerang ini langganan bgt karena deket rumah, biasa menggunakan asuransi ke sini, dokter dan obat nya cocok, jadi sering berobat ke sini, cm saran aja, di bagian registrasi itu waktu tunggu nya bs 20 menit lebih, harus di tingkatkan, padahal staff ada dan yg ngantri jg cm dikit."
RS EMC Tangerang,Rohimat Imat,8 bulan lalu,5.0,"Baru 1 minggu anak ku di rawat di sini. Pelayan nya luar biasa. Dari mulai dari scurity, suster dan playanan lain nya sangat bagus. Tempat nya sangat bersih terjaga."
RS EMC Tangerang,Fauziah,setahun lalu,5.0,Pilihan rumah sakit swasta di Tangerang semakin beragam salah satunya di EMC ini. Akses transportasi umum juga mudah dijangkau angkot maupun ojek online. …
RS EMC Tangerang,Arief Pasa Ibrahim,7 bulan lalu,5.0,"Pelayanan sangat bagus, padahal pakai bpjs tapi satset, ga kerasa pake bpjs.

Dokter dan suster ramah dan detail ketika menjelaskan, ga pelit ngasih tips juga"
RS EMC Tangerang,Nagita Shidqia,2 tahun lalu,4.0,"Bagi pasien yg mau ke dr onkologi saran saya begitu dapat rujukan dr RS pertama langsung deh ke sini cz kita harus booking dulu di cs.
Di disini dr onkologinya cuma da 1 jd kita wajib bngt antri . …"
RS EMC Tangerang,Yulianty,4 bulan lalu,5.0,"Good service..
Perawatan nya baik-baik..
Terapisnyanya juga baik-baik, bu ipong pak robert.. ❤️"
RS EMC Tangerang,Tiramisyu malik,7 bulan lalu,5.0,"Bestttttt hospitality..
Sehat selalu dok clara selaku pemimpin
Dan mba dewi segera naik jabatan aamiiin❤
Ortunya yg opname anak nya yg di senengin❤"
RS EMC Tangerang,Riska Listiyani,5 bulan lalu,5.0,"Tepat di hari rabu tgl 10 desember bertambah nya usia suami ku, tpi allah berkata lain di hari yg bahagia ini beliau di kasih cobaan hdup yg bner"" berat buat dia tpi semua udah ada jalan nya semoga kedepan nya allah angkat drajat kluarga ku …"
RS EMC Tangerang,Maria Siska,3 bulan lalu,5.0,"Sangat puas dgn pelayanan di EMC Tangerang. Mulai dari masuk IGD. Trs dipindah ke ICU sampai di ruang rawat inap. Semua nya luar biasa baik dan cepat, padahal menggunakan BPJS. Sehingga ortu saya bisa sehat lagi. 🥰🥰 …"
RS EMC Tangerang,Deva Ramina,4 bulan lalu,5.0,Pelayanan di korespondensi bagus sekali sangat membantu terima kasih terima kasih kak yudis dan kak tri bintang 100/10 emc jaya jaya 🙏🏻🙏🏻🙏🏻 …
RS EMC Tangerang,Yoseph Andrian,Diedit setahun lalu,4.0,"Awalnya ane ga kepikiran bakalan dtg ke sini, tp krn udah seminggu kaki ane yg luka ga ada kemajuan (malahan jd pincang krn bengkak akibat luka infeksi), akhirnya keluarga mutusin bwt dtg ke sini... …"
RS EMC Tangerang,Budi Lesmana,6 bulan lalu,1.0,"Tgl 04 Nov 2025
istri melahirkan di Emc Tangerang dengan estimasi paket yg sudah diberikan oleh dr. Efilda sebesar sebesar 51.171.150,- , (paket SC + penyulit+ steril) sehari …"
RS EMC Tangerang,Yoyo hudaya,5 bulan lalu,5.0,"Alhamdulillah, penanganan EMC sangat baik, gerak cepat, langsung tindakan dokter
Saya langsung di operasi ,  sekarang tinggal pemulihan
Terima kasih EMC"
RS EMC Tangerang,Andika Yulian,3 bulan lalu,1.0,"Pelayanan ""BURUK"" buat petugas casmex di depan lobby semua petugas tidak ada name tag dan di balik . …"
RS EMC Tangerang,Reynal Limited,4 bulan lalu,1.0,"Rumah sakit paling parah,keluarga pasien menolak untuk di lakukan operasi masih aja di paksa dengan alasan klu tidak di lakukan operasi keadaan pasien hanya begitu gitu saya. Setelah di lakukan operasi tidak jelang lama pasien meninggal dunia,semoga hidayah menimpa dokter tersebut"
RS EMC Tangerang,Rajunis Hanafiah,setahun lalu,5.0,"Rumah sakit EMC Cipondoh, Tanggerang, salah satu rumah sakit yg pelayanannya sangat memuaskan, dokter, suster dan stafnya juga ramah. …"
RS EMC Tangerang,Moza Aurora,4 bulan lalu,5.0,"Saya menjalani fisioterapi di RS EMC dan sangat puas dengan pelayanannya. Dokter dan terapisnya ramah, komunikatif, serta profesional. Pelayanan cepat tanpa menunggu lama, tempatnya juga nyaman. Terima kasih RS EMC.”"
RS EMC Tangerang,Indi Niluvar,5 bulan lalu,1.0,"kwkwkw diboongin pas lagi sakit. Bilangnya udah ada dokternya sambil nada tinggi. Perawat di lobby orchid, gada nametag nya jadi gatau namanya. Nametag ga dipake biar ga bisa dilaporin sus. Tanya perawat lain ternyata malah dokter tersebut …"
RS EMC Tangerang,Luthfi Ramadhan,11 bulan lalu,1.0,Jadwal dokter nya ga sesuai. Pasien udah Dateng dari pagi tiba² dokter saraf Berliana nya lagi rapat. parah pasien di suruh tunggu lebih dari 2 jam. Giliran pasien telat Dateng di suruh besok Dateng ny
RS EMC Tangerang,Ilham Surahmat,6 bulan lalu,1.0,"nunggu 2 jam lebih antrian di igd, pas di triage ternyata tidak bisa karna paginya sudah pakai bpja di rs lain, dan bawa bawa rs tipe b dan c segala. kita ke berobat karna darurat bukan kepoli. trus perawatnya masuk kedalam nanya dokter …"
RS EMC Tangerang,annashr tanjung pridasiwi,5 bulan lalu,4.0,"Mulai dari satpamnya dan bagian informasi, helpfull dan ramah. Saya datang dengan tanpa reservasi, dibantu diarahkan untuk pendaftaran secara online melalui qr oleh bagian informasi. Waktu itu mendaftar konsultasi dan vaksin dengan dokter …"
RS EMC Tangerang,Putri Alrin Kurnia,7 bulan lalu,5.0,"Alhamdulillah lahiran sc anak ke 2 tgl 1 oktober kemarin lancar , udah takut banget ngerasain post sc sakitnya sama ky waktu sc pertama ternyata beneran minim banget rasa sakitnya hari ke 2 udah bisa jalan. Untuk petugasnya juga ramah2 …"
RS EMC Tangerang,Muhammad Ridho,4 bulan lalu,1.0,"Kecewa bangat padahal anak bayi usia 6 bulan belum di periksa belum di apa""in ditanya mau pakai BPJS atau asuransi saya jawab pakai BPJS di suruh ke tipe c dulu pada hal posisi badan nya panas dan nafas nya cepat beda dengan rumah sakit …"
RS EMC Tangerang,Susiati Aja,3 bulan lalu,4.0,"Saya mau bertanya ini itu bisa untuk BPJS kelas 1  Perusahaan atau tidak , sakit di bawa kesini di tolak pke bpjs malah bilang kalo bisa asuransi Bu …"
